Date,Price,Ticker,Daily_Return,MA_20,MA_50,Volatility
2023-01-02,1175.8896484375,RELIANCE.NS,,,,
2023-01-03,1167.28466796875,RELIANCE.NS,-0.007317846942682227,,,
2023-01-04,1149.7095947265625,RELIANCE.NS,-0.015056372900683068,,,
2023-01-05,1147.6553955078125,RELIANCE.NS,-0.0017867113818760272,,,
2023-01-06,1158.0863037109375,RELIANCE.NS,0.009088885255934764,,,
2023-01-09,1185.4302978515625,RELIANCE.NS,0.023611361306151935,,,
2023-01-10,1167.9010009765625,RELIANCE.NS,-0.014787286023285828,,,
2023-01-11,1153.1790771484375,RELIANCE.NS,-0.012605455270450983,,,
2023-01-12,1128.2769775390625,RELIANCE.NS,-0.021594304044218804,,,
2023-01-13,1126.451171875,RELIANCE.NS,-0.001618224691639858,,,
2023-01-16,1115.723388671875,RELIANCE.NS,-0.009523522608857027,,,
2023-01-17,1131.5638427734375,RELIANCE.NS,0.014197474268616395,,,
2023-01-18,1129.692138671875,RELIANCE.NS,-0.0016540861689031683,,,
2023-01-19,1128.4825439453125,RELIANCE.NS,-0.0010707295245805382,,,
2023-01-20,1115.0615234375,RELIANCE.NS,-0.011892980161563704,,,
2023-01-23,1109.4237060546875,RELIANCE.NS,-0.005056059476819086,,,
2023-01-24,1102.873046875,RELIANCE.NS,-0.005904560308146678,,,
2023-01-25,1087.6259765625,RELIANCE.NS,-0.01382486439006081,,,
2023-01-27,1066.9923095703125,RELIANCE.NS,-0.018971289245408918,,,
2023-01-30,1077.218017578125,RELIANCE.NS,0.009583675454915452,1131.2260314941407,,
2023-01-31,1074.5245361328125,RELIANCE.NS,-0.0025004051188896037,1126.1577758789062,,0.011525609176583873
2023-02-01,1068.156494140625,RELIANCE.NS,-0.005926381183538054,1121.2013671875,,0.011511476995988121
2023-02-02,1062.2447509765625,RELIANCE.NS,-0.0055345290661914515,1116.828125,,0.011239706974918716
2023-02-03,1063.1806640625,RELIANCE.NS,0.0008810710385502851,1112.6043884277344,,0.011281714786768642
2023-02-06,1055.1690673828125,RELIANCE.NS,-0.007535498857808909,1107.4585266113281,,0.010891255023951904
2023-02-07,1052.6356201171875,RELIANCE.NS,-0.002400987049316017,1100.8187927246095,,0.008674230179175116
2023-02-08,1073.6572265625,RELIANCE.NS,0.01997044945426807,1096.1066040039063,,0.010153005858132289
2023-02-09,1075.52880859375,RELIANCE.NS,0.0017431839370580793,1092.2240905761719,,0.010030219566287506
2023-02-10,1066.6728515625,RELIANCE.NS,-0.008234049111923936,1089.1438842773437,,0.009164451985256141
2023-02-13,1060.6014404296875,RELIANCE.NS,-0.005691914933354525,1085.8513977050782,,0.009182906581265315
2023-02-14,1085.5946044921875,RELIANCE.NS,0.023565085912361505,1084.3449584960938,,0.010781149116166244
2023-02-15,1110.1768798828125,RELIANCE.NS,0.022644065555321946,1083.2756103515626,,0.011558152923524957
2023-02-16,1109.3095703125,RELIANCE.NS,-0.000781235482407161,1082.2564819335937,,0.011556765921359458
2023-02-17,1113.9429931640625,RELIANCE.NS,0.004176852860159785,1081.5295043945312,,0.011610859356347229
2023-02-20,1102.16552734375,RELIANCE.NS,-0.010572772478113612,1080.8847045898438,,0.011546760333647772
2023-02-21,1111.158447265625,RELIANCE.NS,0.00815931881261811,1080.9714416503907,,0.011651087156772462
2023-02-22,1085.9598388671875,RELIANCE.NS,-0.022677781427524635,1080.12578125,,0.012668510569290446
2023-02-23,1080.7557373046875,RELIANCE.NS,-0.004792167607163611,1079.7822692871093,,0.012332394867385497
